expdate,strike,Call/Put,Symbol,Price,Bid,Ask,Change,Percent Change,Volume,Open Interest,Option Value,IV,Param IV,Delta,Gamma,Theta,Alpha,Vega,Rho
01/23/2015,502.5,Call,GOOG  150123C00502500,31.250,30.20,32.30,-2.60,-7.6809,0,1,31.2500,0.3223,30.7227,0.7311,0.0077,-0.3071,-0.0252,0.4360,0.2228
01/23/2015,502.5,Put,GOOG  150123P00502500,6.250,5.70,6.80,0.95,17.9245,2,9,6.2500,0.2978,30.7227,-0.2543,0.0082,-0.2747,-0.0298,0.4166,-0.0819
01/23/2015,505.0,Call,GOOG  150123C00505000,29.400,28.30,30.50,-2.40,-7.5472,0,9,29.4000,0.3197,30.4168,0.7118,0.0081,-0.3150,-0.0256,0.4510,0.2176
01/23/2015,505.0,Put,GOOG  150123P00505000,6.900,6.30,7.50,1.10,18.9655,11,5,6.9000,0.296,30.4168,-0.2751,0.0086,-0.2841,-0.0302,0.4435,-0.0882
01/23/2015,507.5,Call,GOOG  150123C00507500,27.250,26.40,28.10,-2.60,-8.7102,0,4,27.2500,0.3096,30.1194,0.6952,0.0086,-0.3130,-0.0273,0.4627,0.2134
01/23/2015,507.5,Put,GOOG  150123P00507500,7.550,6.90,8.20,1.20,18.8976,2,18,7.5500,0.2933,30.1194,-0.2961,0.0090,-0.2919,-0.0307,0.4676,-0.0945
01/23/2015,510.0,Call,GOOG  150123C00510000,25.450,24.60,26.30,-2.50,-8.9445,0,27,25.4500,0.3062,29.8306,0.6742,0.0089,-0.3185,-0.0280,0.4761,0.2076
01/23/2015,510.0,Put,GOOG  150123P00510000,8.050,7.60,8.50,1.10,15.8273,0,62,8.0500,0.2859,29.8306,-0.3161,0.0095,-0.2925,-0.0323,0.4688,-0.1009
01/23/2015,512.5,Call,GOOG  150123C00512500,23.700,22.90,24.50,-2.40,-9.1954,0,64,23.7000,0.3028,29.5504,0.6523,0.0092,-0.3230,-0.0286,0.4883,0.2014
01/23/2015,512.5,Put,GOOG  150123P00512500,9.050,8.30,9.80,1.45,19.0789,0,15,9.0500,0.2883,29.5504,-0.3418,0.0097,-0.3044,-0.0318,0.4891,-0.1086
01/23/2015,515.0,Call,GOOG  150123C00515000,22.000,21.20,22.80,-2.25,-9.2783,0,31,22.0000,0.2994,29.2789,0.6294,0.0095,-0.3264,-0.0293,0.4992,0.1949
