expdate,strike,Call/Put,Symbol,Price,Bid,Ask,Change,Percent Change,Volume,Open Interest,Option Value,IV,Param IV,Delta,Gamma,Theta,Alpha,Vega,Rho
01/09/2015,2.5,Put,ZNGA  150109P00002500,0.035,0.01,0.06,-0.00,-12.5,0,39,0.0349,0.5823,N/A,-0.2341,1.2655,-0.0042,-304.4222,0.0013,-0.0002
01/09/2015,3.0,Call,ZNGA  150109C00003000,0.020,0.01,0.03,-0.02,-42.8571,0,3682,0.0114,0.5823,N/A,0.1022,0.7329,-0.0024,-304.1216,0.0007,0.0001
01/09/2015,3.0,Put,ZNGA  150109P00003000,0.350,0.32,0.38,0.14,70.7317,0,0,0.3513,0.5823,N/A,-0.8978,0.7329,-0.0024,-305.8986,0.0007,-0.0007
01/09/2015,3.5,Call,ZNGA  150109C00003500,0.000,0.00,0.03,0.00,0,0,1,0.0001,0.5823,N/A,0.0016,0.0208,-0.0001,-301.9420,0.0000,0.0000
01/09/2015,3.5,Put,ZNGA  150109P00003500,0.855,0.80,0.91,0.09,11.7647,0,0,0.8400,0.5823,N/A,-0.9988,0.0195,-0.0000,-407.0417,0.0000,-0.0000
01/17/2015,1.5,Call,ZNGA  150117C00001500,1.175,1.14,1.21,0.01,1.2931,0,1156,1.1601,0.6013,66.8096,1.0000,0.0000,-0.0000,-4.0000,0.0000,0.0007
01/17/2015,1.5,Put,ZNGA  150117P00001500,0.000,0.00,0.02,0.00,0,0,2394,0.0000,0.6535,66.8096,-0.0000,0.0001,-0.0000,-128.0000,0.0000,-0.0000
01/17/2015,2.0,Call,ZNGA  150117C00002000,0.660,0.65,0.67,-0.08,-10.2041,250,11697,0.6613,0.6013,66.8096,0.9901,0.0791,-0.0003,-275.7143,0.0001,0.0009
01/17/2015,2.0,Put,ZNGA  150117P00002000,0.000,0.00,0.04,0.00,0,0,5509,0.0021,0.6535,66.8096,-0.0157,0.1079,-0.0004,-241.4541,0.0002,-0.0000
01/17/2015,2.5,Call,ZNGA  150117C00002500,0.225,0.21,0.24,-0.06,-21.0526,85,19941,0.2250,0.6013,66.8096,0.7110,1.0205,-0.0036,-284.7495,0.0019,0.0007
01/17/2015,2.5,Put,ZNGA  150117P00002500,0.075,0.07,0.08,0.02,36.3636,70,23026,0.0750,0.6535,66.8096,-0.3006,0.9597,-0.0040,-241.7964,0.0019,-0.0004
01/17/2015,3.0,Call,ZNGA  150117C00003000,0.045,0.04,0.05,-0.02,-30.7692,790,35575,0.0450,0.6824,66.8096,0.2207,0.7805,-0.0035,-221.4099,0.0017,0.0002
01/17/2015,3.0,Put,ZNGA  150117P00003000,0.385,0.37,0.40,0.04,13.2353,0,15504,0.3850,0.6831,66.8096,-0.7794,0.7823,-0.0035,-221.8154,0.0016,-0.0009
01/17/2015,3.5,Call,ZNGA  150117C00003500,0.015,0.01,0.02,0.00,0,383,47865,0.0203,0.919,66.8096,0.0918,0.3220,-0.0026,-122.1126,0.0009,0.0001
01/17/2015,3.5,Put,ZNGA  150117P00003500,0.860,0.84,0.88,0.06,6.8323,0,9176,0.8600,0.919,66.8096,-0.9082,0.3220,-0.0026,-122.8581,0.0009,-0.0014
01/23/2015,1.5,Call,ZNGA  150123C00001500,1.175,1.03,1.32,-0.07,-5.6225,0,0,1.1602,0.6086,59.2964,0.9999,0.0006,-0.0000,-72.0000,0.0000,0.0009
01/23/2015,1.5,Put,ZNGA  150123P00001500,0.000,0.00,0.05,0.00,0,0,0,0.0000,0.5667,59.2964,-0.0000,0.0002,-0.0000,-237.0000,0.0000,-0.0000
01/23/2015,2.0,Call,ZNGA  150123C00002000,0.725,0.63,0.82,-0.06,-8.2278,0,10,0.6644,0.6086,59.2964,0.9740,0.1484,-0.0005,-273.8284,0.0004,0.0012
01/23/2015,2.0,Put,ZNGA  150123P00002000,0.000,0.00,0.05,0.00,0,0,0,0.0027,0.5667,59.2964,-0.0189,0.1220,-0.0004,-321.1526,0.0003,-0.0000
01/23/2015,2.5,Call,ZNGA  150123C00002500,0.250,0.22,0.28,-0.07,-21.875,0,84,0.2500,0.6086,59.2964,0.6855,0.8736,-0.0031,-277.9507,0.0024,0.0010
01/23/2015,2.5,Put,ZNGA  150123P00002500,0.080,0.06,0.10,-0.01,-11.1111,0,11,0.0800,0.5667,59.2964,-0.3056,0.9301,-0.0029,-321.7392,0.0023,-0.0005
01/23/2015,3.0,Call,ZNGA  150123C00003000,0.055,0.04,0.07,-0.02,-21.4286,0,254,0.0550,0.6181,59.2964,0.2429,0.7582,-0.0028,-269.7108,0.0021,0.0004
01/23/2015,3.0,Put,ZNGA  150123P00003000,0.410,0.36,0.46,0.05,12.3288,0,0,0.4100,0.6891,59.2964,-0.7290,0.7232,-0.0033,-217.9723,0.0023,-0.0012
01/23/2015,3.5,Call,ZNGA  150123C00003500,0.050,0.01,0.09,0.00,0,0,0,0.0073,0.6181,59.2964,0.0455,0.2316,-0.0009,-269.9452,0.0006,0.0001
01/23/2015,3.5,Put,ZNGA  150123P00003500,0.890,0.75,1.03,0.06,6.5868,0,0,0.8523,0.6891,59.2964,-0.9340,0.2804,-0.0013,-219.9161,0.0009,-0.0013
01/30/2015,1.5,Call,ZNGA  150130C00001500,1.215,0.99,1.44,0.00,0,0,0,1.1612,0.8026,66.2229,0.9954,0.0219,-0.0001,-151.9792,0.0001,0.0012
01/30/2015,1.5,Put,ZNGA  150130P00001500,0.000,0.00,0.06,0.00,0,0,0,0.0001,0.6245,66.2229,-0.0005,0.0037,-0.0000,-267.1429,0.0000,-0.0000
