expdate,strike,Call/Put,Symbol,Price,Bid,Ask,Change,Percent Change,Volume,Open Interest,Option Value,IV,Param IV,Delta,Gamma,Theta,Alpha,Vega,Rho
01/09/2015,11.5,Put,BBRY  150109P00011500,0.630,0.62,0.64,0.00,0,220,71,0.6300,0.4285,40.2964,-0.7437,0.4377,-0.0132,-33.0856,0.0057,-0.0018
01/09/2015,12.0,Call,BBRY  150109C00012000,0.040,0.03,0.05,-0.01,-20,256,1138,0.0400,0.4486,42.3646,0.1102,0.2435,-0.0081,-30.0688,0.0032,0.0003
01/09/2015,12.0,Put,BBRY  150109P00012000,1.070,1.04,1.10,0.03,2.8846,25,40,1.0700,0.4793,42.3646,-0.8739,0.2516,-0.0095,-26.4961,0.0037,-0.0020
01/17/2015,10.0,Call,BBRY  150117C00010000,1.080,1.06,1.10,-0.04,-3.139,251,57389,1.0800,0.479,49.1819,0.8372,0.2235,-0.0085,-26.2697,0.0057,0.0036
01/17/2015,10.0,Put,BBRY  150117P00010000,0.100,0.09,0.11,-0.01,-4.7619,612,49913,0.1000,0.4803,49.1819,-0.1630,0.2239,-0.0085,-26.2788,0.0056,-0.0008
01/17/2015,10.5,Call,BBRY  150117C00010500,0.690,0.68,0.70,-0.03,-4.1667,59,1118,0.6900,0.4517,45.5964,0.6987,0.3354,-0.0113,-29.5836,0.0080,0.0031
01/17/2015,10.5,Put,BBRY  150117P00010500,0.210,0.20,0.22,0.00,0,185,2960,0.2100,0.4523,45.5964,-0.3014,0.3364,-0.0113,-29.6410,0.0081,-0.0014
01/17/2015,11.0,Call,BBRY  150117C00011000,0.400,0.39,0.41,-0.02,-3.6145,1177,35546,0.4000,0.4463,43.6108,0.5112,0.3887,-0.0128,-30.3425,0.0092,0.0023
01/17/2015,11.0,Put,BBRY  150117P00011000,0.410,0.40,0.42,-0.01,-2.381,1055,15886,0.4100,0.4359,43.6108,-0.4895,0.3997,-0.0125,-31.9375,0.0092,-0.0023
01/17/2015,11.5,Call,BBRY  150117C00011500,0.205,0.20,0.21,-0.02,-8.8889,245,2187,0.2050,0.441,43.2043,0.3249,0.3549,-0.0114,-31.0920,0.0083,0.0015
01/17/2015,11.5,Put,BBRY  150117P00011500,0.720,0.71,0.73,0.00,0,4,189,0.7200,0.4359,43.2043,-0.6778,0.3596,-0.0112,-31.9736,0.0083,-0.0030
01/17/2015,12.0,Call,BBRY  150117C00012000,0.095,0.09,0.10,-0.02,-17.3913,1040,54497,0.0950,0.4411,44.2211,0.1801,0.2589,-0.0083,-31.0860,0.0060,0.0008
01/17/2015,12.0,Put,BBRY  150117P00012000,1.120,1.11,1.13,0.00,0.4484,17,16821,1.1200,0.4504,44.2211,-0.8148,0.2590,-0.0086,-30.0066,0.0061,-0.0034
01/23/2015,10.0,Call,BBRY  150123C00010000,1.135,1.04,1.23,-0.05,-3.8136,0,643,1.1350,0.4748,48.3085,0.8009,0.2133,-0.0080,-26.7331,0.0077,0.0048
01/23/2015,10.0,Put,BBRY  150123P00010000,0.150,0.14,0.16,-0.02,-9.0909,0,371,0.1500,0.4697,48.3085,-0.1969,0.2142,-0.0078,-27.4803,0.0076,-0.0015
01/23/2015,10.5,Call,BBRY  150123C00010500,0.785,0.73,0.84,-0.01,-1.2579,0,226,0.7850,0.4733,45.3714,0.6688,0.2780,-0.0103,-26.9505,0.0100,0.0041
01/23/2015,10.5,Put,BBRY  150123P00010500,0.285,0.27,0.30,0.00,0,0,138,0.2850,0.4542,45.3714,-0.3262,0.2893,-0.0098,-29.4023,0.0101,-0.0022
01/23/2015,11.0,Call,BBRY  150123C00011000,0.480,0.45,0.51,-0.03,-4.9505,12,339,0.4800,0.4449,43.9148,0.5162,0.3251,-0.0106,-30.5241,0.0110,0.0033
01/23/2015,11.0,Put,BBRY  150123P00011000,0.500,0.48,0.52,0.00,0,2,36,0.5000,0.4456,43.9148,-0.4838,0.3260,-0.0107,-30.5730,0.0110,-0.0033
